Nome,Owner,Coverage,Qnt. de BUG Issues,Último update nas BUG Issues,Qnt. de LOC de teste,URL
erpnext,frappe,0%,1714,23/05/20,52645,https://github.com/frappe/erpnext
loguru,Delgan,100%,21,17/05/20,5356,https://github.com/Delgan/loguru
synapse,matrix-org,65%,508,23/05/20,38391,https://github.com/matrix-org/synapse
arrow,crsmithdev,100%,68,14/05/20,95,https://github.com/crsmithdev/arrow
python-for-android,kivy,62%,17,11/05/20,5276,https://github.com/kivy/python-for-android
pytest,pytest-dev,93%,1132,22/05/20,15865,https://github.com/pytest-dev/pytest
boto3,boto,91%,80,14/05/20,9739,https://github.com/boto/boto3
spyder,spyder-ide,70%,3322,22/05/20,31014,https://github.com/spyder-ide/spyder
sh,amoffat,92%,33,12/05/20,3266,https://github.com/amoffat/sh
gevent,gevent,87%,52,19/05/20,88929,https://github.com/gevent/gevent
django-extensions,django-extensions,70%,59,07/05/20,6895,https://github.com/django-extensions/django-extensions
jedi,davidhalter,94%,321,18/05/20,8547,https://github.com/davidhalter/jedi
imbalanced-learn,scikit-learn-contrib,99%,19,11/05/20,7987,https://github.com/scikit-learn-contrib/imbalanced-learn
mycroft-core,MycroftAI,48%,89,19/05/20,9809,https://github.com/MycroftAI/mycroft-core
pip-tools,jazzband,100%,77,21/05/20,3977,https://github.com/jazzband/pip-tools
python-docs-samples,GoogleCloudPlatform,65%,446,23/05/20,36356,https://github.com/GoogleCloudPlatform/python-docs-samples
conan,conan-io,2%,628,22/05/20,72267,https://github.com/conan-io/conan
kafka-python,dpkp,84%,33,23/04/20,5365,https://github.com/dpkp/kafka-python
st2,StackStorm,73%,292,19/05/20,43846,https://github.com/StackStorm/st2
scikit-image,scikit-image,59%,223,22/05/20,27954,https://github.com/scikit-image/scikit-image
rqalpha,ricequant,65%,45,21/05/20,0,https://github.com/ricequant/rqalpha
moto,spulec,94%,80,19/05/20,85379,https://github.com/spulec/moto
cvat,opencv,66%,201,22/05/20,9459,https://github.com/opencv/cvat
librosa,librosa,99%,86,18/05/20,9074,https://github.com/librosa/librosa
hy,hylang,42%,145,22/05/20,619,https://github.com/hylang/hy
RxPY,ReactiveX,93%,30,20/05/20,31525,https://github.com/ReactiveX/RxPY
autopep8,hhatto,99%,21,03/05/20,0,https://github.com/hhatto/autopep8
DeepCTR,shenweichen,95%,1,21/05/20,1021,https://github.com/shenweichen/DeepCTR
sphinx,sphinx-doc,39%,2098,22/05/20,1505,https://github.com/sphinx-doc/sphinx
pyod,yzhao062,96%,12,18/05/20,4159,https://github.com/yzhao062/pyod
connexion,zalando,96%,78,12/05/20,6158,https://github.com/zalando/connexion
mlxtend,rasbt,92%,16,22/05/20,13097,https://github.com/rasbt/mlxtend
freqtrade,freqtrade,97%,217,21/05/20,939,https://github.com/freqtrade/freqtrade
securedrop,freedomofpress,92%,289,22/05/20,8766,https://github.com/freedomofpress/securedrop
python-slackclient,slackapi,62%,50,21/05/20,5531,https://github.com/slackapi/python-slackclient
Flask-AppBuilder,dpgaspar,74%,88,20/05/20,6595,https://github.com/dpgaspar/Flask-AppBuilder
qiskit-terra,Qiskit,76%,494,22/05/20,28109,https://github.com/Qiskit/qiskit-terra
python-slackclient,slackapi,62%,50,21/05/20,5531,https://github.com/slackapi/python-slackclient
apscheduler,agronholm,94%,97,19/05/20,3333,https://github.com/agronholm/apscheduler
